time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.355,54.994,50.0,0.6747,0.5,0.0
0.404,54.994,50.0,0.6747,0.5,0.0
0.454,54.994,50.0,0.6743,0.5,0.0
0.504,55.018,50.0,0.6747,0.5,0.0
0.554,54.994,50.0,0.6743,0.5,0.0
0.604,54.994,50.0,0.6746,0.5,0.0
0.654,54.994,50.0,0.6746,0.5,0.0
0.704,54.994,50.0,0.6746,0.5,0.0
0.754,54.994,50.0,0.6743,0.5,0.0
0.804,54.994,50.0,0.6744,0.5,0.0
0.854,54.994,50.0,0.6744,0.5,0.0
0.904,55.018,50.0,0.6746,0.5,0.0
0.954,55.018,50.0,0.6746,0.5,0.0
1.004,55.018,50.0,0.6746,0.5,0.0
1.054,55.018,50.0,0.6746,0.5,0.0
1.104,54.994,50.0,0.6746,0.5,0.0
1.154,55.067,50.0,0.6746,0.5,0.0
1.204,55.018,50.0,0.6746,0.5,0.0
1.254,55.018,50.0,0.6746,0.5,0.0
1.304,54.994,0.0,0.6746,0.5,0.0
1.354,54.994,0.0,0.6746,0.5,0.0
1.404,55.018,0.0,0.6746,0.5,0.0
1.454,54.994,0.0,0.6746,0.5,0.0
1.504,54.994,0.0,0.6746,0.5,0.0
1.554,54.969,0.0,0.6746,0.5,0.0
1.604,54.994,0.0,0.6746,0.5,0.0
1.654,54.945,0.0,0.6746,0.5,0.0
1.704,54.994,0.0,0.6746,0.5,0.0
1.754,54.994,0.0,0.6746,0.5,0.0
1.804,55.018,0.0,0.6745,0.5,0.0
1.854,55.018,0.0,0.6745,0.5,0.0
1.904,54.994,0.0,0.6745,0.5,0.0
1.954,55.018,0.0,0.6745,0.5,0.0
2.004,54.994,0.0,0.6745,0.5,0.0
2.054,54.969,0.0,0.6745,0.5,0.0
2.104,54.994,0.0,0.6744,0.5,0.0
2.154,54.994,0.0,0.6744,0.5,0.0
2.204,55.018,0.0,0.6744,0.5,0.0
2.254,54.994,0.0,0.6745,0.5,0.0
2.304,54.994,0.7410198450088501,0.6745,0.5,0.0
2.354,55.018,0.7410198450088501,0.6744,0.5,0.0
2.404,54.994,0.7410198450088501,0.6744,0.5,0.0
2.454,55.189,0.7410198450088501,0.6744,0.5,-8.282352941176471
2.509,53.797,0.7410198450088501,0.6744,0.5,-8.282352941176471
2.564,54.505,0.7410198450088501,0.6744,0.5,-8.282352941176471
2.619,54.31,0.7410198450088501,0.6744,0.5,-11.388235294117647
2.674,53.504,0.7410198450088501,0.6744,0.5,-11.811764705882354
2.723,52.283,0.7410198450088501,0.6744,0.5,-12.0
2.773,51.282,0.7410198450088501,0.6744,0.5,-12.0
2.823,49.963,0.7410198450088501,0.6745,0.5,-12.0
2.873,49.06,0.7410198450088501,0.6745,0.5,-12.0
2.929,47.961,0.7410198450088501,0.6744,0.5,-12.0
2.973,46.96,0.7410198450088501,0.6745,0.5,-12.0
3.023,45.885,0.7410198450088501,0.6745,0.5,-12.0
3.073,44.786,0.7410198450088501,0.6745,0.5,-12.0
3.123,43.541,0.7410198450088501,0.6748,0.5,-12.0
