85587,1099,0,0.1258,1025.30,24.91,1,4.27
85637,1099,0,0.1251,1025.23,24.91,1,4.27
85687,1099,0,0.1253,1025.25,24.91,1,4.24
85737,1098,0,0.1252,1025.24,24.91,1,4.24
85787,1098,0,0.1254,1025.26,24.91,1,4.24
85837,1099,0,0.1252,1025.24,24.91,1,4.24
85887,1099,0,0.1252,1025.24,24.91,1,4.24
85937,1098,0,0.1253,1025.25,24.91,1,4.25
85987,1098,0,0.1251,1025.23,24.91,1,4.27
86037,1099,0,0.1255,1025.27,24.91,1,4.25
86089,1098,0,0.1251,1025.23,24.90,1,4.25
86138,1099,0,0.1253,1025.25,24.91,1,4.25
86188,1099,0,0.1254,1025.26,24.91,1,4.24
86238,1099,0,0.1254,1025.26,24.91,1,4.25
86288,1099,0,0.1252,1025.24,24.91,1,4.25
86338,1098,0,0.1256,1025.28,24.91,1,4.24
86388,1098,0,0.1254,1025.26,24.91,1,4.27
86438,1098,0,0.1254,1025.26,24.91,1,4.25
86488,1099,0,0.1255,1025.27,24.91,1,4.25
86538,1098,0,0.1253,1025.25,24.91,1,4.25
86588,1099,0,0.1255,1025.27,24.91,1,4.24
86638,1099,0,0.1255,1025.27,24.91,1,4.27
86688,1098,0,0.1256,1025.28,24.91,1,4.25
86738,1098,0,0.1255,1025.27,24.91,1,4.24
86788,1099,0,0.1254,1025.26,24.91,1,4.24
86838,1098,0,0.1253,1025.25,24.91,1,4.25
86888,1098,0,0.1251,1025.23,24.91,1,4.25
86938,1099,0,0.1255,1025.27,24.91,1,4.27
86988,1099,0,0.1255,1025.27,24.91,1,4.27
87038,1099,0,0.1254,1025.26,24.91,1,4.27
87088,1099,0,0.1255,1025.27,24.91,1,4.25
87138,1098,0,0.1254,1025.26,24.91,1,4.25
87188,1098,0,0.1252,1025.24,24.91,1,4.25
87238,1098,0,0.1258,1025.30,24.91,1,4.25
87288,1098,0,0.1252,1025.24,24.91,1,4.24
87338,1099,0,0.1255,1025.27,24.91,1,4.24
87388,1099,0,0.1255,1025.27,24.91,1,4.25
87438,1099,0,0.1257,1025.29,24.91,1,4.25
87488,1098,0,0.1258,1025.30,24.91,1,4.25
87538,1098,0,0.1256,1025.28,24.91,1,4.25
87588,1098,0,0.1251,1025.23,24.91,1,4.24
87638,1098,0,0.1251,1025.23,24.91,1,4.27
87688,1098,0,0.1252,1025.24,24.91,1,4.24
87738,1099,0,0.1255,1025.27,24.91,1,4.24
87788,1099,0,0.1252,1025.24,24.91,1,4.25
87838,1098,0,0.1254,1025.26,24.91,1,4.25
87888,1099,0,0.1256,1025.28,24.91,1,4.24
87938,1098,0,0.1253,1025.25,24.91,1,4.25
87988,1099,0,0.1252,1025.24,24.91,1,4.25
88038,1099,0,0.1252,1025.24,24.91,1,4.25
88090,1098,0,0.1253,1025.25,24.90,1,4.25
88139,1099,0,0.1255,1025.27,24.91,1,4.25
88189,1098,0,0.1255,1025.27,24.91,1,4.24
88239,1098,0,0.1254,1025.26,24.91,1,4.25
88289,1099,0,0.1254,1025.26,24.91,1,4.24
88339,1099,0,0.1255,1025.27,24.91,1,4.27
88389,1098,0,0.1256,1025.28,24.91,1,4.25
88439,1099,0,0.1256,1025.28,24.91,1,4.24
88489,1099,0,0.1255,1025.27,24.91,1,4.25
88539,1098,0,0.1255,1025.27,24.91,1,4.25
88589,1099,0,0.1255,1025.27,24.91,1,4.27
88639,1099,0,0.1255,1025.27,24.91,1,4.25
88689,1099,0,0.1254,1025.26,24.91,1,4.25
88739,1099,0,0.1256,1025.28,24.91,1,4.25
88789,1098,0,0.1254,1025.26,24.91,1,4.27
88839,1099,0,0.1256,1025.28,24.91,1,4.27
88889,1099,0,0.1256,1025.28,24.91,1,4.25
88939,1099,0,0.1257,1025.29,24.91,1,4.24
88989,1099,0,0.1253,1025.25,24.91,1,4.24
89039,1099,0,0.1256,1025.28,24.91,1,4.25
89089,1098,0,0.1252,1025.24,24.91,1,4.24
89139,1098,0,0.1258,1025.30,24.91,1,4.25
89189,1099,0,0.1257,1025.29,24.91,1,4.24
89239,1099,0,0.1254,1025.26,24.91,1,4.27
89289,1098,0,0.1253,1025.25,24.91,1,4.24
89339,1098,0,0.1255,1025.27,24.91,1,4.24
89389,1098,0,0.1256,1025.28,24.91,1,4.24
89439,1099,0,0.1255,1025.27,24.91,1,4.25
89489,1099,0,0.1253,1025.25,24.91,1,4.24
89539,1099,0,0.1254,1025.26,24.91,1,4.24
89589,1098,0,0.1254,1025.26,24.91,1,4.24
89639,1099,0,0.1255,1025.27,24.91,1,4.27
89689,1098,0,0.1255,1025.27,24.91,1,4.24
89739,1099,0,0.1254,1025.26,24.91,1,4.24
89789,1098,0,0.1254,1025.26,24.91,1,4.24
89839,1099,0,0.1258,1025.30,24.91,1,4.24
89889,1099,0,0.1255,1025.27,24.91,1,4.25
89939,1098,0,0.1256,1025.28,24.91,1,4.25
89989,1099,0,0.1254,1025.26,24.91,1,4.24
90039,1098,0,0.1254,1025.26,24.91,1,4.24
90091,1098,0,0.1255,1025.27,24.90,1,4.25
90140,1098,0,0.1254,1025.26,24.91,1,4.25
90190,1099,0,0.1257,1025.29,24.91,1,4.24
90240,1098,0,0.1256,1025.28,24.91,1,4.25
90290,1098,0,0.1252,1025.24,24.91,1,4.25
90340,1098,0,0.1253,1025.25,24.91,1,4.24
90390,1098,0,0.1255,1025.27,24.91,1,4.24
90440,1099,0,0.1256,1025.28,24.91,1,4.27
90490,1099,0,0.1255,1025.27,24.91,1,4.24
90540,1098,0,0.1252,1025.24,24.91,1,4.25
90590,1099,0,0.1255,1025.27,24.91,1,4.25
90640,1099,0,0.1254,1025.26,24.91,1,4.24
90690,1099,0,0.1256,1025.28,24.91,1,4.25
90740,1098,0,0.1254,1025.26,24.91,1,4.25
90790,1098,0,0.1257,1025.29,24.91,1,4.25
