time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
352,352,0,0.8126,1092.45,22.24,1,12.06
401,352,0,0.8126,1092.45,22.30,1,12.06
452,362,255,0.8127,1092.46,22.33,1,12.06
501,449,255,0.8124,1092.43,22.36,1,12.06
551,596,255,0.8138,1092.57,22.37,1,12.06
601,746,255,0.8128,1092.47,22.39,1,12.06
651,878,255,0.8128,1092.47,22.39,1,12.06
701,1008,255,0.8128,1092.47,22.40,1,12.06
751,1144,255,0.8130,1092.49,22.40,1,12.06
801,1281,255,0.8127,1092.46,22.41,1,12.06
851,1429,255,0.8134,1092.53,22.41,1,12.06
901,1579,255,0.8136,1092.55,22.41,1,12.06
951,1732,255,0.8143,1092.62,22.42,1,12.06
1001,1886,255,0.8140,1092.59,22.42,1,12.06
1051,2050,255,0.8145,1092.64,22.42,1,12.06
1101,2201,248,0.8148,1092.66,22.42,1,12.06
1151,2345,248,0.8146,1092.65,22.42,1,12.06
1201,2484,236,0.8161,1092.79,22.42,1,12.06
1251,2664,236,0.8165,1092.83,22.42,1,12.06
1301,2803,224,0.8170,1092.88,22.42,1,12.06
1351,2891,224,0.8174,1092.92,22.43,1,12.06
1401,2991,208,0.8187,1093.05,22.43,1,12.06
1451,3073,206,0.8189,1093.07,22.42,1,12.06
1501,3250,206,0.8197,1093.14,22.42,1,12.06
1551,3222,190,0.8206,1093.23,22.43,1,12.06
1601,3377,190,0.8214,1093.31,22.43,1,12.06
1651,3348,189,0.8218,1093.35,22.43,1,12.06
1701,3426,198,0.8220,1093.37,22.42,1,12.06
1751,3483,198,0.8216,1093.33,22.43,1,12.06
1801,3612,184,0.8219,1093.36,22.42,1,12.06
1851,3609,184,0.8210,1093.27,22.43,1,12.06
1901,3661,184,0.8215,1093.32,22.43,1,12.06
1951,3746,179,0.8213,1093.30,22.43,1,12.06
2001,3779,179,0.8224,1093.41,22.43,1,12.06
2051,3826,172,0.8219,1093.36,22.43,1,12.06
2101,3851,172,0.8217,1093.34,22.43,1,12.06
2151,3868,170,0.8222,1093.39,22.43,1,12.06
2201,3838,170,0.8218,1093.35,22.43,1,12.06
2251,3933,170,0.8219,1093.36,22.43,1,12.06
