time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,4.298,45,0.8126,None,0
0.401,4.298,45,0.8126,None,0
0.452,4.42,45,0.8126,None,255
0.501,5.482,45,0.8126,None,255
0.551,7.277,45,0.8126,None,255
0.601,9.109,45,0.8127,None,255
0.651,10.72,45,0.8127,None,255
0.701,12.308,45,0.8128,None,255
0.751,13.968,45,0.8128,None,255
0.801,15.641,45,0.8128,None,255
0.851,17.448,45,0.8128,None,255
0.901,19.28,45,0.8128,None,255
0.951,21.148,45,0.8128,None,255
1.001,23.028,45,0.8128,None,255
1.051,25.031,45,0.8128,None,255
1.101,26.874,45,0.813,None,248
1.151,28.632,45,0.8134,None,248
1.201,30.33,45,0.8136,None,236
1.251,32.527,45,0.8138,None,236
1.301,34.225,45,0.814,None,224
1.351,35.299,45,0.8143,None,224
1.401,36.52,45,0.8145,None,208
1.451,37.521,45,0.8146,None,206
1.501,39.683,45,0.8148,None,206
1.551,39.341,45,0.8161,None,190
1.601,41.233,45,0.8165,None,190
1.651,40.879,45,0.817,None,189
1.701,41.832,45,0.8174,None,198
1.751,42.527,45,0.8187,None,198
1.801,44.103,45,0.8189,None,184
1.851,44.066,45,0.8197,None,184
1.901,44.701,45,0.8206,None,184
1.951,45.739,45,0.821,None,179
2.001,46.142,45,0.8213,None,179
2.051,46.716,45,0.8214,None,172
2.101,47.021,45,0.8215,None,172
2.151,47.228,45,0.8216,None,170
2.201,46.862,45,0.8217,None,170
2.251,48.022,45,0.8218,None,170
2.301,48.535,45,0.8218,None,172
2.351,48.767,45,0.8219,None,172
2.401,49.145,45,0.8219,None,159
2.451,49.304,45,0.8219,None,162
2.501,49.451,45,0.8219,None,162
2.551,49.499,45,0.8218,None,159
2.601,49.487,45,0.8218,None,159
2.651,49.499,45,0.8218,None,159
2.701,49.487,45,0.8218,None,159
2.751,49.524,45,0.8218,None,159
2.801,49.56,45,0.8217,None,159
2.851,49.585,45,0.8218,None,159
2.901,49.573,45,0.8217,None,158
2.951,49.609,45,0.8217,None,157
3.001,49.585,45,0.8217,None,157
3.051,49.585,45,0.8217,None,157
3.101,49.573,45,0.8217,None,157
3.151,49.56,45,0.8217,None,157
3.201,49.56,45,0.8217,None,156
3.251,49.573,45,0.8217,None,156
3.301,49.56,45,0.8217,None,156
3.351,49.573,45,0.8218,None,156
3.401,49.597,45,0.8218,None,155
3.451,49.573,45,0.8218,None,155
3.501,49.573,45,0.8218,None,155
3.551,49.585,45,0.8218,None,154
3.601,49.585,45,0.8218,None,154
3.652,49.573,45,0.8218,None,154
3.701,49.56,45,0.8218,None,154
3.751,49.573,45,0.8218,None,153
3.801,49.573,45,0.8218,None,153
3.851,49.573,45,0.8218,None,153
3.901,49.585,45,0.8218,None,153
3.951,49.573,45,0.8218,None,152
4.001,49.585,45,0.8218,None,152
4.051,49.56,45,0.8218,None,152
4.101,49.573,45,0.8218,None,152
4.151,49.573,45,0.8218,None,151
4.201,49.573,45,0.8218,None,151
4.252,49.585,45,0.8218,None,150
4.301,49.585,45,0.8218,None,150
4.351,49.573,45,0.8218,None,150
4.401,49.548,45,0.8218,None,150
4.451,49.585,45,0.8218,None,149
4.501,49.573,45,0.8218,None,149
4.551,49.573,45,0.8218,None,149
4.601,49.585,45,0.8218,None,149
4.651,49.573,45,0.8218,None,148
4.701,49.56,45,0.8218,None,148
4.751,49.573,45,0.8218,None,148
4.801,49.56,45,0.8218,None,148
4.851,49.585,45,0.8218,None,148
4.901,49.585,45,0.8218,None,147
4.951,49.56,45,0.8219,None,147
5.001,49.573,45,0.8219,None,147
5.051,49.56,45,0.8219,None,146
5.101,49.585,45,0.822,None,146
5.151,49.56,45,0.822,None,146
5.201,49.573,45,0.822,None,145
5.251,49.585,45,0.8219,None,145
5.301,49.597,45,0.8219,None,145
5.351,49.573,45,0.8219,None,145
5.401,49.573,45,0.8219,None,144
5.451,49.573,45,0.8219,None,144
5.501,49.597,45,0.8219,None,144
5.551,49.585,45,0.8219,None,144
5.601,49.573,45,0.8218,None,143
5.651,49.573,45,0.8218,None,143
5.701,49.573,45,0.8218,None,143
5.751,49.56,45,0.8218,None,143
5.801,49.585,45,0.8217,None,142
5.851,49.573,45,0.8217,None,142
5.901,49.573,45,0.8217,None,141
5.951,49.573,45,0.8218,None,141
6.001,49.573,45,0.8218,None,141
6.051,49.573,45,0.8218,None,141
6.101,49.573,45,0.8218,None,141
6.151,49.585,45,0.8218,None,140
6.201,49.573,45,0.8218,None,140
6.251,49.573,45,0.8218,None,139
6.301,49.597,45,0.8219,None,139
6.351,49.573,45,0.8219,None,139
6.401,49.56,45,0.8219,None,139
6.451,49.585,45,0.8219,None,138
6.501,49.56,45,0.8219,None,138
6.551,49.573,45,0.8219,None,138
6.601,49.573,45,0.8219,None,138
6.651,49.573,45,0.8219,None,137
6.701,49.585,45,0.8218,None,137
6.751,49.585,45,0.8219,None,137
6.801,49.573,45,0.8219,None,136
6.851,49.573,45,0.8218,None,136
6.901,49.585,45,0.8218,None,136
6.951,49.56,45,0.8218,None,136
7.001,49.585,45,0.8218,None,136
7.051,49.573,45,0.8217,None,135
7.101,49.573,45,0.8217,None,135
7.151,49.56,45,0.8216,None,135
