time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.355,0.0841,0.6886,0.6045,0.0
0.404,0.0841,0.6886,0.6045,0.0
0.454,0.0838,0.6886,0.6048,0.0
0.504,0.0838,0.6886,0.6048,0.0
0.554,0.0834,0.6886,0.6052,0.0
0.604,0.0834,0.6886,0.6052,0.0
0.654,0.0832,0.6886,0.6054,0.0
0.704,0.0834,0.6886,0.6052,0.0
0.754,0.0834,0.6886,0.6052,0.0
0.804,0.0835,0.6886,0.6051,0.0
0.854,0.0835,0.6886,0.6051,0.0
0.904,0.0838,0.6886,0.6048,0.0
0.954,0.0838,0.6886,0.6048,0.0
1.004,0.0838,0.6886,0.6048,0.0
1.054,0.0838,0.6886,0.6048,0.0
1.104,0.0838,0.6886,0.6048,0.0
1.154,0.0838,0.6886,0.6048,0.0
1.204,0.0838,0.6886,0.6048,0.0
1.254,0.0838,0.6886,0.6048,0.0
1.304,0.0838,0.6886,0.6048,0.0
1.354,0.0839,0.6886,0.6047,0.0
1.404,0.0839,0.6886,0.6047,0.0
1.454,0.0839,0.6886,0.6047,0.0
1.504,0.0839,0.6886,0.6047,0.0
1.554,0.0839,0.6886,0.6047,0.0
1.604,0.0839,0.6886,0.6047,0.0
1.654,0.0838,0.6886,0.6048,0.0
1.704,0.0837,0.6886,0.6049,0.0
1.754,0.0837,0.6886,0.6049,0.0
1.804,0.0836,0.6886,0.605,0.0
1.854,0.0836,0.6886,0.605,0.0
1.904,0.0835,0.6886,0.6051,0.0
1.954,0.0834,0.6886,0.6052,-0.002
2.004,0.0834,0.6886,0.6052,-0.002
2.054,0.0833,0.6886,0.6053,-0.002
2.104,0.0832,0.6886,0.6054,-0.002
2.154,0.0832,0.6886,0.6054,-0.002
2.204,0.0831,0.6886,0.6055,-0.002
2.254,0.0829,0.6886,0.6057,-0.002
2.304,0.0828,0.6886,0.6058,-0.002
2.354,0.0825,0.6886,0.6061,-0.002
2.404,0.0825,0.6886,0.6061,-0.002
2.454,0.0824,0.6886,0.6062,-0.002
2.504,0.0822,0.6886,0.6064,-0.002
2.554,0.0822,0.6886,0.6064,-0.002
2.604,0.0819,0.6886,0.6067,-0.002
2.654,0.0819,0.6886,0.6067,-0.002
2.704,0.0817,0.6886,0.6069,-0.002
2.754,0.0813,0.6886,0.6073,-0.004
2.804,0.0813,0.6886,0.6073,-0.002
2.854,0.0809,0.6886,0.6077,-0.004
2.904,0.0805,0.6886,0.6081,-0.004
2.954,0.0803,0.6886,0.6083,-0.004
3.004,0.0802,0.6886,0.6084,-0.004
3.054,0.0801,0.6886,0.6085,-0.004
3.104,0.08,0.6886,0.6086,-0.004
3.154,0.08,0.6886,0.6086,-0.002
3.204,0.0799,0.6886,0.6087,-0.002
3.254,0.0799,0.6886,0.6087,-0.002
3.304,0.0799,0.6886,0.6087,-0.002
3.354,0.0798,0.6886,0.6088,-0.002
3.404,0.0798,0.6886,0.6088,-0.002
3.454,0.0798,0.6886,0.6088,0.0
3.504,0.0799,0.6886,0.6087,0.0
3.554,0.0799,0.6886,0.6087,0.0
3.604,0.0799,0.6886,0.6087,0.0
3.654,0.0799,0.6886,0.6087,0.0
3.704,0.0802,0.6886,0.6084,0.0
3.754,0.0803,0.6886,0.6083,0.0
3.804,0.0806,0.6886,0.608,0.0
3.854,0.0807,0.6886,0.6079,0.002
3.904,0.0807,0.6886,0.6079,0.002
3.954,0.0809,0.6886,0.6077,0.002
4.004,0.081,0.6886,0.6076,0.002
4.054,0.0811,0.6886,0.6075,0.002
4.104,0.0816,0.6886,0.607,0.002
4.154,0.0821,0.6886,0.6065,0.002
4.204,0.0826,0.6886,0.606,0.004
4.254,0.0831,0.6886,0.6055,0.004
4.304,0.0835,0.6886,0.6051,0.008
4.354,0.0843,0.6886,0.6043,0.01
4.404,0.0852,0.6886,0.6034,0.01
4.454,0.0855,0.6886,0.6031,0.01
4.504,0.0861,0.6886,0.6025,0.01
4.554,0.0872,0.6886,0.6014,0.01
4.604,0.0877,0.6886,0.6009,0.01
4.654,0.0887,0.6886,0.5999,0.012
4.704,0.0895,0.6886,0.5991,0.016
4.754,0.0911,0.6886,0.5975,0.016
4.804,0.0915,0.6886,0.5971,0.016
4.854,0.0922,0.6886,0.5964,0.014
4.904,0.0937,0.6886,0.5949,0.016
4.954,0.0941,0.6886,0.5945,0.016
5.004,0.0953,0.6886,0.5933,0.016
5.054,0.0963,0.6886,0.5923,0.02
5.104,0.0971,0.6886,0.5915,0.016
5.154,0.0976,0.6886,0.591,0.016
5.204,0.0992,0.6886,0.5894,0.016
5.254,0.1006,0.6886,0.588,0.02
5.304,0.1015,0.6886,0.5871,0.02
5.354,0.1023,0.6886,0.5863,0.018
5.404,0.1032,0.6886,0.5854,0.018
5.454,0.1049,0.6886,0.5837,0.018
5.504,0.106,0.6886,0.5826,0.018
5.554,0.1072,0.6886,0.5814,0.022
5.604,0.1081,0.6886,0.5805,0.022
5.654,0.1097,0.6886,0.5789,0.022
5.704,0.1117,0.6886,0.5769,0.022
5.754,0.1136,0.6886,0.575,0.024
5.804,0.1152,0.6886,0.5734,0.032
5.854,0.1175,0.6886,0.5711,0.032
5.904,0.1192,0.6886,0.5694,0.032
5.954,0.1217,0.6886,0.5669,0.034
6.004,0.1243,0.6886,0.5643,0.038
6.054,0.1275,0.6886,0.5611,0.04
6.104,0.1304,0.6886,0.5582,0.046
6.154,0.1335,0.6886,0.5551,0.05
6.204,0.137,0.6886,0.5516,0.052
6.254,0.1402,0.6886,0.5484,0.058
6.304,0.1442,0.6886,0.5444,0.062
6.354,0.1478,0.6886,0.5408,0.064
6.404,0.1529,0.6886,0.5357,0.064
6.454,0.1575,0.6886,0.5311,0.07
6.504,0.1619,0.6886,0.5267,0.072
6.554,0.1674,0.6886,0.5212,0.08
6.604,0.1724,0.6886,0.5162,0.088
6.654,0.1781,0.6886,0.5105,0.092
6.704,0.1834,0.6886,0.5052,0.1
6.754,0.1894,0.6886,0.4992,0.102
6.804,0.1959,0.6886,0.4927,0.106
6.854,0.2018,0.6886,0.4868,0.11
6.904,0.2085,0.6886,0.4801,0.114
6.954,0.2149,0.6886,0.4737,0.118
7.004,0.2211,0.6886,0.4675,0.12
7.054,0.228,0.6886,0.4606,0.124
7.104,0.2345,0.6886,0.4541,0.128
7.154,0.2408,0.6886,0.4478,0.128
7.204,0.248,0.6886,0.4406,0.13
7.254,0.255,0.6886,0.4336,0.13
7.304,0.2615,0.6886,0.4271,0.13
7.354,0.268,0.6886,0.4206,0.13
7.404,0.2748,0.6886,0.4138,0.13
7.454,0.2815,0.6886,0.4071,0.134
7.504,0.2881,0.6886,0.4005,0.132
7.554,0.2945,0.6886,0.3941,0.132
7.604,0.3012,0.6886,0.3874,0.134
7.654,0.3078,0.6886,0.3808,0.132
7.704,0.3139,0.6886,0.3747,0.132
7.754,0.3195,0.6886,0.3691,0.132
7.804,0.325,0.6886,0.3636,0.132
7.854,0.3316,0.6886,0.357,0.132
7.904,0.3364,0.6886,0.3522,0.128
7.954,0.3417,0.6886,0.3469,0.122
8.004,0.3474,0.6886,0.3412,0.114
8.054,0.3521,0.6886,0.3365,0.112
8.104,0.3573,0.6886,0.3313,0.11
8.154,0.3616,0.6886,0.327,0.106
8.204,0.3661,0.6886,0.3225,0.104
8.254,0.3708,0.6886,0.3178,0.096
8.304,0.3757,0.6886,0.3129,0.096
8.354,0.3794,0.6886,0.3092,0.094
8.404,0.3834,0.6886,0.3052,0.094
8.454,0.3874,0.6886,0.3012,0.09
8.504,0.3911,0.6886,0.2975,0.086
8.554,0.3946,0.6886,0.294,0.08
8.604,0.3981,0.6886,0.2905,0.08
8.654,0.4021,0.6886,0.2865,0.08
8.704,0.4052,0.6886,0.2834,0.074
8.754,0.4086,0.6886,0.28,0.074
8.804,0.4119,0.6886,0.2767,0.07
8.854,0.4144,0.6886,0.2742,0.07
8.904,0.4178,0.6886,0.2708,0.068
8.954,0.4211,0.6886,0.2675,0.068
9.004,0.4244,0.6886,0.2642,0.066
9.054,0.4272,0.6886,0.2614,0.066
9.104,0.4303,0.6886,0.2583,0.066
9.154,0.4327,0.6886,0.2559,0.066
9.204,0.436,0.6886,0.2526,0.066
9.254,0.4383,0.6886,0.2503,0.062
9.304,0.4413,0.6886,0.2473,0.062
9.354,0.4441,0.6886,0.2445,0.06
9.404,0.4471,0.6886,0.2415,0.06
9.454,0.4501,0.6886,0.2385,0.06
9.504,0.4522,0.6886,0.2364,0.06
9.554,0.4552,0.6886,0.2334,0.06
9.604,0.4575,0.6886,0.2311,0.06
9.654,0.4598,0.6886,0.2288,0.056
9.704,0.4629,0.6886,0.2257,0.06
9.754,0.465,0.6886,0.2236,0.056
9.804,0.4679,0.6886,0.2207,0.058
9.854,0.4709,0.6886,0.2177,0.058
9.904,0.4728,0.6886,0.2158,0.046
9.954,0.4754,0.6886,0.2132,0.052
10.004,0.4776,0.6886,0.211,0.046
10.054,0.4794,0.6886,0.2092,0.046
10.104,0.4821,0.6886,0.2065,0.052
10.154,0.4844,0.6886,0.2042,0.046
10.204,0.4863,0.6886,0.2023,0.046
10.254,0.4883,0.6886,0.2003,0.044
10.304,0.4899,0.6886,0.1987,0.04
10.354,0.4918,0.6886,0.1968,0.04
10.404,0.4931,0.6886,0.1955,0.038
10.454,0.4949,0.6886,0.1937,0.038
10.504,0.4965,0.6886,0.1921,0.038
10.554,0.4978,0.6886,0.1908,0.036
10.604,0.4988,0.6886,0.1898,0.032
10.654,0.4998,0.6886,0.1888,0.032
10.704,0.5013,0.6886,0.1873,0.03
10.754,0.5022,0.6886,0.1864,0.026
10.804,0.5029,0.6886,0.1857,0.026
10.854,0.504,0.6886,0.1846,0.022
10.904,0.5046,0.6886,0.184,0.02
10.954,0.5059,0.6886,0.1827,0.02
11.004,0.5066,0.6886,0.182,0.02
11.054,0.5066,0.6886,0.182,0.018
11.104,0.5073,0.6886,0.1813,0.014
11.154,0.5082,0.6886,0.1804,0.014
11.204,0.5088,0.6886,0.1798,0.014
11.254,0.5099,0.6886,0.1787,0.014
11.304,0.5101,0.6886,0.1785,0.014
11.354,0.5107,0.6886,0.1779,0.014
11.404,0.5112,0.6886,0.1774,0.012
11.454,0.5121,0.6886,0.1765,0.012
11.504,0.5127,0.6886,0.1759,0.012
11.554,0.5139,0.6886,0.1747,0.012
11.604,0.5154,0.6886,0.1732,0.012
11.654,0.5168,0.6886,0.1718,0.018
11.704,0.5182,0.6886,0.1704,0.018
11.754,0.5203,0.6886,0.1683,0.024
11.804,0.5211,0.6886,0.1675,0.024
11.854,0.5241,0.6886,0.1645,0.028
11.904,0.5268,0.6886,0.1618,0.028
11.954,0.5287,0.6886,0.1599,0.03
12.004,0.5322,0.6886,0.1564,0.038
12.055,0.5346,0.6886,0.154,0.042
12.104,0.5376,0.6886,0.151,0.0471
