time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.355,48.718,50.0,0.2872,0.7343,0.0
0.404,48.742,50.0,0.288,0.7343,0.0
0.454,48.816,50.0,0.288,0.7343,7.2
0.504,48.938,50.0,0.2904,0.7343,7.2
0.554,48.889,50.0,0.2904,0.7343,7.2
0.604,49.084,50.0,0.2918,0.7343,0.0
0.654,49.109,50.0,0.2918,0.7343,0.0
0.704,49.084,50.0,0.2935,0.7343,0.0
0.754,49.109,50.0,0.2935,0.7343,0.0
0.804,49.084,50.0,0.2951,0.7343,0.0
0.854,49.084,50.0,0.2951,0.7343,0.0
0.904,49.084,50.0,0.2972,0.7343,0.0
0.954,49.084,50.0,0.2972,0.7343,0.0
1.004,49.084,50.0,0.2991,0.7343,0.0
1.054,49.084,50.0,0.2991,0.7343,0.0
1.104,49.06,50.0,0.3012,0.7343,0.0
1.154,49.06,50.0,0.3034,0.7343,0.0
1.204,49.084,50.0,0.305,0.7343,0.0
1.254,49.084,50.0,0.3068,0.7343,0.0
1.304,49.084,50.0,0.3084,0.7343,0.0
1.354,49.084,50.0,0.3107,0.7343,0.0
1.404,49.084,50.0,0.3121,0.7343,0.0
1.454,49.084,50.0,0.3143,0.7343,0.0
1.504,49.109,50.0,0.3158,0.7343,0.0
1.554,49.084,50.0,0.317,0.7343,0.0
1.604,49.084,50.0,0.3186,0.7343,0.0
1.654,49.109,50.0,0.3197,0.7343,0.0
1.704,49.084,50.0,0.3211,0.7343,0.0
1.754,49.084,50.0,0.3227,0.7343,0.0
1.804,49.084,50.0,0.3236,0.7343,0.0
1.854,49.109,50.0,0.3245,0.7343,0.0
1.904,49.109,50.0,0.3265,0.7343,0.0
1.954,49.084,50.0,0.3268,0.7343,0.0
2.004,49.109,50.0,0.3277,0.7343,0.0
2.054,49.109,50.0,0.3287,0.7343,0.0
2.104,49.084,50.0,0.3297,0.7343,0.0
2.154,49.084,50.0,0.3308,0.7343,0.0
2.204,49.084,50.0,0.3317,0.7343,0.0
2.254,49.084,50.0,0.333,0.7343,0.0
2.304,49.084,50.0,0.3334,0.7343,0.0
2.354,49.084,50.0,0.3343,0.7343,0.0
2.404,49.109,50.0,0.3355,0.7343,0.0
2.454,49.084,50.0,0.3363,0.7343,0.0
2.504,49.109,50.0,0.3367,0.7343,0.0
2.554,49.084,59.60693359375,0.3387,0.7343,0.0
2.604,49.109,96.4691162109375,0.3398,0.7343,0.0
2.654,49.133,99.99847412109375,0.3404,0.7343,8.047058823529412
2.704,49.377,99.99847412109375,0.3417,0.7343,11.529411764705882
2.754,50.134,99.99847412109375,0.3422,0.7343,11.529411764705882
2.804,51.233,99.99847412109375,0.3436,0.7343,11.811764705882354
2.854,51.722,99.99847412109375,0.3446,0.7343,11.811764705882354
2.904,53.382,83.52813720703125,0.3462,0.7343,11.670588235294117
2.954,53.895,58.038330078125,0.3471,0.7343,11.670588235294117
3.004,55.238,50.0,0.3493,0.7343,9.882352941176471
3.054,56.117,50.0,0.3502,0.7343,9.882352941176471
3.104,56.825,50.0,0.3514,0.7343,-7.529411764705882
3.154,57.094,50.0,0.3529,0.7343,-7.529411764705882
3.204,56.239,50.0,0.3543,0.7343,-7.7176470588235295
3.254,56.923,50.0,0.3559,0.7343,-7.7176470588235295
3.304,55.751,50.0,0.3576,0.7343,-7.623529411764705
3.354,56.117,50.0,0.3591,0.7343,-7.623529411764705
3.404,55.36,50.0,0.3605,0.7343,-7.623529411764705
3.454,55.433,50.0,0.3621,0.7343,-7.623529411764705
3.504,54.823,50.0,0.3631,0.7343,-7.623529411764705
3.554,55.238,50.0,0.3644,0.7343,-7.576470588235294
3.604,54.359,50.0,0.3655,0.7343,-7.576470588235294
3.654,54.652,50.0,0.3674,0.7343,-7.529411764705882
3.704,54.017,50.0,0.3688,0.7343,-7.482352941176471
3.754,54.066,50.0,0.3699,0.7343,-7.482352941176471
3.804,53.187,59.21478271484375,0.3716,0.7343,-7.435294117647059
3.854,53.968,64.70489501953125,0.372,0.7343,-7.435294117647059
3.904,53.26,65.48919677734375,0.3742,0.7343,7.623529411764705
3.954,53.284,61.56768798828125,0.3751,0.7343,8.047058823529412
4.004,53.626,55.29327392578125,0.3776,0.7343,8.047058823529412
4.054,53.7,50.0,0.378,0.7343,7.858823529411764
4.104,54.53,50.0,0.3803,0.7343,7.858823529411764
4.154,54.603,50.0,0.3816,0.7343,-7.3882352941176475
4.204,54.164,50.0,0.3829,0.7343,-7.482352941176471
4.254,54.579,50.0,0.3844,0.7343,-7.482352941176471
4.304,54.066,50.0,0.3856,0.7343,-7.435294117647059
4.354,54.139,55.6854248046875,0.3874,0.7343,-7.435294117647059
4.404,53.504,56.86187744140625,0.3892,0.7343,-7.435294117647059
4.454,53.724,56.86187744140625,0.3917,0.7343,7.2
4.504,53.553,56.86187744140625,0.3926,0.7343,7.2
4.554,54.042,56.86187744140625,0.3948,0.7343,7.341176470588235
4.604,54.188,56.86187744140625,0.3962,0.7343,7.341176470588235
