time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.355,0.438,0.6552,0.2172,0.0
0.404,0.438,0.6552,0.2172,0.0
0.454,0.4366,0.6552,0.2186,0.0
0.504,0.4366,0.6552,0.2186,0.0
0.554,0.435,0.6552,0.2202,0.0
0.604,0.435,0.6552,0.2202,0.0
0.654,0.4341,0.6552,0.2211,0.0
0.704,0.4341,0.6552,0.2211,0.0
0.754,0.4328,0.6552,0.2224,0.0
0.804,0.4328,0.6552,0.2224,0.0
0.854,0.4307,0.6552,0.2245,-0.018
0.904,0.4307,0.6552,0.2245,0.0
0.954,0.4299,0.6552,0.2253,-0.016
1.004,0.4299,0.6552,0.2253,0.0
1.054,0.428,0.6552,0.2272,-0.016
1.104,0.4273,0.6552,0.2279,-0.014
1.154,0.4264,0.6552,0.2288,-0.016
1.204,0.425,0.6552,0.2302,-0.016
1.254,0.4238,0.6552,0.2314,-0.018
1.304,0.4221,0.6552,0.2331,-0.018
1.354,0.4204,0.6552,0.2348,-0.024
1.404,0.4195,0.6552,0.2357,-0.024
1.454,0.4179,0.6552,0.2373,-0.028
1.504,0.4171,0.6552,0.2381,-0.024
1.554,0.4157,0.6552,0.2395,-0.028
1.604,0.4143,0.6552,0.2409,-0.028
1.654,0.4133,0.6552,0.2419,-0.028
1.704,0.4117,0.6552,0.2435,-0.028
1.754,0.4105,0.6552,0.2447,-0.028
1.804,0.4087,0.6552,0.2465,-0.028
1.854,0.4082,0.6552,0.247,-0.028
1.904,0.4069,0.6552,0.2483,-0.026
1.954,0.406,0.6552,0.2492,-0.026
2.004,0.4046,0.6552,0.2506,-0.026
2.054,0.4031,0.6552,0.2521,-0.026
2.104,0.4022,0.6552,0.253,-0.026
2.154,0.4012,0.6552,0.254,-0.024
2.204,0.4,0.6552,0.2552,-0.024
2.254,0.3991,0.6552,0.2561,-0.02
2.304,0.3985,0.6552,0.2567,-0.02
2.354,0.3966,0.6552,0.2586,-0.02
2.404,0.396,0.6552,0.2592,-0.02
2.454,0.3947,0.6552,0.2605,-0.02
2.504,0.3939,0.6552,0.2613,-0.018
2.554,0.3934,0.6552,0.2618,-0.018
2.604,0.3925,0.6552,0.2627,-0.018
2.654,0.3919,0.6552,0.2633,-0.016
2.704,0.3913,0.6552,0.2639,-0.012
2.754,0.3904,0.6552,0.2648,-0.016
2.804,0.3903,0.6552,0.2649,-0.012
2.854,0.3894,0.6552,0.2658,-0.016
2.904,0.3893,0.6552,0.2659,-0.012
