time_s,depth_filtered_m,depth_setpoint_m,actuator_mm,actuator_setpoint_mm,motor_cmd
8.456,0.5058,None,35.861,None,-1
8.506,0.5011,None,35.873,None,-1
8.556,0.4972,None,35.873,None,-1
8.606,0.4932,None,35.873,None,-59
8.656,0.4897,None,35.91,None,-201
8.706,0.4856,None,35.263,None,-255
8.756,0.4824,None,33.48,None,-255
8.806,0.4799,None,31.526,None,-255
8.856,0.4759,None,29.634,None,-255
8.906,0.4738,None,27.827,None,-255
8.956,0.4703,None,26.068,None,-255
9.006,0.4689,None,24.127,None,-255
9.056,0.467,None,22.125,None,-255
9.106,0.466,None,20.427,None,-255
9.157,0.4643,None,18.083,None,-255
9.212,0.4624,None,16.935,None,-255
9.256,0.4624,None,15.214,None,-255
9.312,0.4624,None,13.614,None,-255
9.356,0.4624,None,12.027,None,-255
9.412,0.462,None,10.488,None,-255
9.456,0.462,None,9.573,None,-255
9.506,0.462,None,7.338,None,-255
9.556,0.4618,None,5.604,None,-255
9.606,0.4618,None,4.029,None,-255
9.656,0.4612,None,2.491,None,-255
9.706,0.4611,None,1.099,None,-255
9.756,0.4618,None,0.073,None,-255
9.806,0.462,None,0.073,None,-255
9.856,0.4632,None,0.061,None,-255
9.906,0.464,None,0.061,None,-255
9.956,0.464,None,0.061,None,-255
10.006,0.464,None,0.073,None,-255
10.056,0.464,None,0.073,None,-255
10.106,0.4616,None,0.061,None,-255
10.156,0.4616,None,0.061,None,-255
10.206,0.4589,None,0.073,None,-255
10.256,0.455,None,0.061,None,-255
10.306,0.455,None,0.061,None,-173
10.356,0.4521,None,0.061,None,-9
