time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.352,0.6826,0.4822,-0.2004,0.0
0.401,0.683,0.4822,-0.2008,0.0082
0.451,0.6828,0.4822,-0.2006,0.0
0.501,0.6828,0.4822,-0.2006,0.0
0.551,0.6828,0.4822,-0.2006,0.0
0.601,0.6829,0.4822,-0.2007,0.0
0.651,0.6828,0.4822,-0.2006,0.0
0.701,0.6828,0.4822,-0.2006,0.0
0.751,0.6828,0.4822,-0.2006,0.0
0.801,0.6828,0.4822,-0.2006,0.0
0.851,0.6826,0.4822,-0.2004,0.0
0.901,0.6828,0.4822,-0.2006,0.0
0.951,0.6826,0.4822,-0.2004,0.0
1.001,0.6826,0.4822,-0.2004,0.0
1.051,0.6826,0.4822,-0.2004,0.0
1.101,0.6826,0.4822,-0.2004,0.0
1.151,0.6826,0.4822,-0.2004,0.0
1.201,0.6826,0.4822,-0.2004,0.0
1.251,0.6826,0.4822,-0.2004,0.0
1.301,0.6826,0.4822,-0.2004,0.0
1.351,0.6825,0.4822,-0.2003,0.0
1.401,0.6826,0.4822,-0.2004,0.0
1.456,0.6826,0.4822,-0.2004,0.0
1.505,0.6826,0.4822,-0.2004,0.0
1.555,0.6826,0.4822,-0.2004,0.0
1.605,0.6826,0.4822,-0.2004,0.0
1.655,0.6826,0.4822,-0.2004,0.0
1.705,0.6826,0.4822,-0.2004,0.0
1.755,0.6826,0.4822,-0.2004,0.0
1.805,0.6826,0.4822,-0.2004,0.0
1.855,0.6826,0.4822,-0.2004,0.0
1.905,0.6826,0.4822,-0.2004,0.0
1.955,0.6826,0.4822,-0.2004,0.0
2.005,0.6826,0.4822,-0.2004,0.0
2.055,0.6826,0.4822,-0.2004,0.0
2.105,0.6826,0.4822,-0.2004,0.0
2.155,0.6826,0.4822,-0.2004,0.0
2.205,0.6826,0.4822,-0.2004,0.0
2.255,0.6826,0.4822,-0.2004,0.0
2.305,0.6826,0.4822,-0.2004,0.0
2.355,0.6826,0.4822,-0.2004,0.0
2.405,0.6829,0.4822,-0.2007,0.0
2.455,0.683,0.4822,-0.2008,0.0
2.505,0.6832,0.4822,-0.201,0.0
2.555,0.6833,0.4822,-0.2011,0.0
2.605,0.6833,0.4822,-0.2011,0.0
2.655,0.6834,0.4822,-0.2012,0.002
2.705,0.6835,0.4822,-0.2013,0.002
2.755,0.6835,0.4822,-0.2013,0.002
2.805,0.6836,0.4822,-0.2014,0.002
2.855,0.6838,0.4822,-0.2016,0.002
2.905,0.684,0.4822,-0.2018,0.002
2.955,0.684,0.4822,-0.2018,0.002
3.005,0.684,0.4822,-0.2018,0.002
3.055,0.684,0.4822,-0.2018,0.002
3.105,0.684,0.4822,-0.2018,0.0
3.155,0.684,0.4822,-0.2018,0.0
3.205,0.684,0.4822,-0.2018,0.0
3.255,0.684,0.4822,-0.2018,0.0
3.305,0.684,0.4822,-0.2018,0.0
3.355,0.6833,0.4822,-0.2011,0.0
3.405,0.6831,0.4822,-0.2009,0.0
3.455,0.682,0.4822,-0.1998,0.0
3.505,0.6808,0.4822,-0.1986,0.0
3.555,0.6793,0.4822,-0.1971,-0.004
3.605,0.6779,0.4822,-0.1957,-0.014
3.655,0.6757,0.4822,-0.1935,-0.022
3.705,0.6743,0.4822,-0.1921,-0.024
3.755,0.6725,0.4822,-0.1903,-0.028
3.805,0.6693,0.4822,-0.1871,-0.028
3.855,0.6669,0.4822,-0.1847,-0.03
3.905,0.6641,0.4822,-0.1819,-0.036
3.955,0.6598,0.4822,-0.1776,-0.044
4.005,0.6566,0.4822,-0.1744,-0.048
4.055,0.6535,0.4822,-0.1713,-0.056
4.105,0.6479,0.4822,-0.1657,-0.062
4.155,0.6443,0.4822,-0.1621,-0.064
4.205,0.6399,0.4822,-0.1577,-0.064
4.255,0.6341,0.4822,-0.1519,-0.072
4.305,0.6288,0.4822,-0.1466,-0.086
4.355,0.6238,0.4822,-0.1416,-0.088
4.405,0.6171,0.4822,-0.1349,-0.1
