time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,21.807,20.0,0.5557,0.5929,0
0.401,21.795,20.0,0.5557,0.5929,0
0.451,21.795,20.0,0.5552,0.5929,0
0.501,21.795,20.0,0.5552,0.5929,0
0.551,21.783,20.0,0.5552,0.5929,0
0.601,21.648,20.0,0.5552,0.5929,-138
0.651,21.819,20.0,0.5552,0.5929,-138
0.701,21.355,20.0,0.5552,0.5929,-137
0.751,21.758,20.0,0.555,0.5929,-137
0.801,21.697,20.0,0.555,0.5929,-136
0.851,21.697,20.0,0.555,0.5929,-136
0.901,21.807,20.0,0.555,0.5929,-139
0.951,21.526,20.0,0.555,0.5929,-139
1.001,21.624,20.0,0.555,0.5929,-139
1.051,21.783,20.0,0.555,0.5929,-136
1.101,21.832,20.0,0.555,0.5929,-136
1.151,21.453,20.0,0.555,0.5929,-140
1.201,21.856,20.0,0.5549,0.5929,-140
1.251,21.563,20.0,0.5549,0.5929,-137
1.301,21.587,20.0,0.555,0.5929,-142
1.351,21.331,20.0,0.5549,0.5929,-142
1.401,21.636,20.0,0.5549,0.5929,-138
1.451,21.661,20.0,0.5549,0.5929,-138
1.501,21.832,15.2154541015625,0.5549,0.5929,-139
1.551,21.355,12.235107421875,0.555,0.5929,-139
1.601,21.807,10.0390625,0.555,0.5929,-160
1.651,21.978,8.9410400390625,0.555,0.5929,-160
1.701,21.612,7.843017578125,0.555,0.5929,-182
1.751,21.16,7.215576171875,0.555,0.5929,-182
1.801,20.928,6.1175537109375,0.5549,0.5929,-191
1.851,20.501,4.8626708984375,0.5549,0.5929,-191
1.901,19.768,2.6666259765625,0.5549,0.5929,-195
1.951,19.06,0.4705810546875,0.555,0.5929,-195
2.001,18.352,0.0,0.555,0.5929,-205
2.051,17.521,0.0,0.555,0.5929,-212
2.101,16.606,0.0,0.555,0.5929,-212
2.151,14.957,0.0,0.555,0.5929,-209
2.201,14.835,0.0,0.555,0.5929,-209
2.251,13.175,0.0,0.5551,0.5929,-197
2.301,13.211,0.0,0.5551,0.5929,-205
2.351,12.247,0.0,0.5553,0.5929,-205
2.401,11.77,0.0,0.5553,0.5929,-195
2.451,10.085,0.0,0.5553,0.5929,-195
2.501,10.696,0.0,0.5553,0.5929,-192
2.551,9.121,0.0,0.5553,0.5929,-182
2.601,9.902,0.0,0.5553,0.5929,-182
2.651,9.219,0.0,0.5551,0.5929,-184
2.701,9.255,0.0,0.555,0.5929,-184
2.751,7.875,0.0,0.5549,0.5929,-189
2.801,8.376,0.0,0.5549,0.5929,-190
2.851,6.996,0.0,0.5549,0.5929,-190
2.901,7.338,0.0,0.5547,0.5929,-184
2.951,6.874,0.0,0.5541,0.5929,-184
3.001,6.496,0.0,0.5539,0.5929,-181
3.051,5.495,0.0,0.5534,0.5929,-181
3.101,5.788,0.0,0.5527,0.5929,-178
3.151,4.835,0.0,0.5513,0.5929,-178
3.201,5.214,0.0,0.5501,0.5929,-177
3.251,4.75,0.0,0.5491,0.5929,-177
3.301,4.652,0.0,0.5475,0.5929,-176
3.351,3.956,0.0,0.5464,0.5929,-176
3.401,4.176,0.0,0.5448,0.5929,-174
3.451,3.468,0.0,0.5426,0.5929,-174
3.501,3.81,0.0,0.5408,0.5929,-173
3.551,3.48,0.0,0.5382,0.5929,-168
3.601,3.443,0.0,0.5366,0.5929,-168
3.651,2.93,0.0,0.5339,0.5929,-172
3.701,3.077,0.0,0.5315,0.5929,-172
3.751,2.479,0.0,0.5291,0.5929,-168
3.801,2.674,0.0,0.526,0.5929,-172
3.851,2.369,0.0,0.5224,0.5929,-172
