depth_filtered_m,actuator_mm
0.9111,30.634920634920636
0.9111,30.634920634920636
0.9111,30.610500610500612
0.9111,30.610500610500612
0.9111,30.622710622710624
0.9111,30.622710622710624
0.9111,30.610500610500612
0.9111,30.610500610500612
0.9111,30.622710622710624
0.9113,30.622710622710624
0.9113,30.622710622710624
0.9115,30.622710622710624
0.9115,30.634920634920636
0.9115,30.634920634920636
0.9115,30.622710622710624
0.9115,30.622710622710624
0.9115,30.622710622710624
0.9115,30.634920634920636
0.9115,30.634920634920636
0.9115,30.634920634920636
0.9115,30.622710622710624
0.9115,30.64713064713065
0.9114,30.634920634920636
0.9111,30.622710622710624
0.9111,30.622710622710624
0.9111,30.634920634920636
0.9111,30.622710622710624
0.9111,30.622710622710624
0.9111,30.622710622710624
0.9111,30.610500610500612
0.9112,30.634920634920636
0.9112,30.622710622710624
0.9112,30.65934065934066
0.9114,29.60927960927961
0.9114,27.912087912087912
0.9114,26.288156288156287
0.9114,24.505494505494507
0.9115,22.75946275946276
0.9115,21.025641025641026
0.9115,19.438339438339437
0.9116,17.753357753357754
0.9116,16.14163614163614
0.9117,14.578754578754578
0.9117,12.039072039072039
0.9117,11.611721611721611
0.9117,10.17094017094017
0.9117,8.717948717948717
0.9117,7.155067155067155
0.9116,5.592185592185592
0.9116,4.163614163614164
0.9116,2.686202686202686
0.9116,1.3308913308913308
0.9115,0.3052503052503053
0.9114,0.28083028083028083
0.9112,0.28083028083028083
0.9112,0.2686202686202686
0.9112,0.28083028083028083
0.9111,0.28083028083028083
0.9107,0.28083028083028083
0.9103,0.28083028083028083
0.9097,0.28083028083028083
0.9089,0.28083028083028083
0.9081,0.2686202686202686
0.9061,0.28083028083028083
0.9043,0.2686202686202686
0.9026,0.28083028083028083
0.8997,0.28083028083028083
0.897,0.28083028083028083
0.8933,0.28083028083028083
0.8897,0.28083028083028083
0.8858,0.2686202686202686
0.8823,0.2686202686202686
0.8779,0.28083028083028083
0.8741,0.28083028083028083
0.8696,0.28083028083028083
0.8654,0.28083028083028083
0.8602,0.28083028083028083
0.856,0.28083028083028083
0.8508,0.28083028083028083
0.8463,0.28083028083028083
0.8409,0.2686202686202686
0.836,0.28083028083028083
0.8308,0.28083028083028083
0.8253,0.28083028083028083
0.8197,0.28083028083028083
0.8143,0.28083028083028083
0.8084,0.28083028083028083
0.8035,0.2686202686202686
0.7973,0.28083028083028083
0.7924,0.28083028083028083
0.7858,0.28083028083028083
0.7807,0.29304029304029305
0.7751,0.9157509157509157
0.7693,2.442002442002442
0.7639,4.212454212454213
0.7588,5.982905982905983
0.7534,7.777777777777778
0.7481,9.523809523809524
0.742,11.245421245421245
0.7362,12.844932844932845
0.7315,14.578754578754578
0.7255,16.36141636141636
0.7206,18.192918192918192
0.7147,20.06105006105006
0.7093,22.002442002442002
0.7042,23.96825396825397
0.6985,26.068376068376068
0.6923,27.716727716727718
0.6869,29.78021978021978
0.6821,31.66056166056166
0.6765,33.663003663003664
0.6718,35.50671550671551
0.6654,37.252747252747255
0.6608,38.98656898656898
0.6555,40.68376068376068
0.6506,42.527472527472526
0.6458,44.48107448107448
0.6416,46.446886446886445
0.6373,48.46153846153846
0.6333,50.0
0.6301,50.0
0.6263,50.0
0.6231,50.0
0.6204,50.0
0.6184,50.0
0.6161,50.0
0.6161,50.0
0.6161,50.0
0.6161,50.0
0.6161,50.0
0.6161,50.0
0.6161,50.0
0.6161,50.0
0.617,50.0
0.6185,50.0
0.6202,50.0
0.6221,50.0
0.6252,50.0
0.6276,50.0
0.6308,50.0
0.6341,50.0
0.6361,50.0
0.6405,50.0
0.6426,49.43833943833944
0.6466,48.96214896214896
0.6502,46.97191697191697
0.6533,44.98168498168498
0.6569,43.02808302808303
0.6608,41.15995115995116
0.6637,39.43833943833944
0.6674,37.77777777777778
0.671,36.12942612942613
0.6745,34.42002442002442
0.6789,32.55189255189255
0.6833,30.72039072039072
0.6867,29.023199023199023
0.6913,27.326007326007325
0.6955,25.702075702075703
0.6998,23.797313797313798
0.7051,22.03907203907204
0.7098,20.366300366300365
0.7147,19.01098901098901
0.7196,17.08180708180708
0.7246,15.372405372405373
0.7299,13.821733821733822
0.7345,12.344322344322345
0.7406,10.87912087912088
0.7446,9.487179487179487
0.7509,7.948717948717949
0.756,6.312576312576312
0.7604,4.822954822954823
0.7658,3.4188034188034186
0.7695,2.0146520146520146
0.7744,0.7203907203907204
0.7783,0.06105006105006105
0.7828,0.06105006105006105
0.7864,0.07326007326007326
0.79,0.07326007326007326
0.7929,0.06105006105006105
0.7959,0.06105006105006105
0.7988,0.06105006105006105
0.8004,0.06105006105006105
0.8033,0.06105006105006105
0.8055,0.06105006105006105
0.8055,0.07326007326007326
0.8055,0.06105006105006105
0.8055,0.06105006105006105
0.8055,0.06105006105006105
0.8055,0.06105006105006105
0.8055,0.07326007326007326
0.8055,0.06105006105006105
0.8052,0.06105006105006105
0.8041,0.07326007326007326
0.8008,0.06105006105006105
0.7998,0.06105006105006105
0.7971,0.06105006105006105
0.7948,0.06105006105006105
0.7931,0.06105006105006105
0.7894,0.06105006105006105
0.7874,0.06105006105006105
0.7847,0.04884004884004884
