time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps,actuator_mm,actuator_setpoint_mm,motor_cmd
0.352,0.217,0.7071,0.4901,0.0,18.095,20.0,0
0.401,0.2171,0.7071,0.49,0.002,18.095,20.0,0
0.451,0.217,0.7071,0.4901,0.0,18.083,20.0,0
0.501,0.2171,0.7071,0.49,0.002,18.095,20.0,0
0.551,0.2171,0.7071,0.49,0.0,18.034,20.0,139
0.601,0.2171,0.7071,0.49,0.0,17.985,20.0,139
0.651,0.217,0.7071,0.4901,0.0,18.132,20.0,139
0.701,0.2171,0.7071,0.49,0.0,18.01,20.0,140
0.751,0.2171,0.7071,0.49,0.0,18.217,20.0,140
0.801,0.2171,0.7071,0.49,0.0,18.291,20.0,139
0.851,0.2171,0.7071,0.49,0.0,18.23,20.0,139
0.901,0.2171,0.7071,0.49,0.0,18.254,20.0,138
0.951,0.2171,0.7071,0.49,0.0,18.584,20.0,138
1.001,0.2171,0.7071,0.49,0.0,18.291,20.0,139
1.051,0.2171,0.7071,0.49,0.0,18.645,20.0,139
1.101,0.2171,0.7071,0.49,0.0,18.706,20.0,139
1.151,0.2171,0.7071,0.49,0.0,18.706,20.0,136
1.201,0.2173,0.7071,0.4898,0.0,18.706,20.0,136
1.251,0.2173,0.7071,0.4898,0.0,18.864,20.0,137
1.301,0.2173,0.7071,0.4898,0.0,18.657,20.0,137
1.351,0.2173,0.7071,0.4898,0.0,18.608,20.0,136
1.401,0.2174,0.7071,0.4897,0.0,18.742,20.0,139
1.451,0.2173,0.7071,0.4898,0.0,18.474,20.0,139
1.501,0.2173,0.7071,0.4898,0.0,18.608,20.0,137
1.551,0.2174,0.7071,0.4897,0.0,18.877,20.0,137
1.601,0.2174,0.7071,0.4897,0.0,18.462,20.0,139
1.651,0.2174,0.7071,0.4897,0.0,18.877,20.0,136
1.701,0.2174,0.7071,0.4897,0.0,18.84,20.0,136
1.751,0.2174,0.7071,0.4897,0.0,18.535,20.0,137
1.801,0.2175,0.7071,0.4896,0.0,18.913,20.0,137
1.851,0.2175,0.7071,0.4896,0.0,18.767,20.0,140
1.901,0.2175,0.7071,0.4896,0.0,18.816,20.0,140
1.951,0.2175,0.7071,0.4896,0.0,18.767,20.0,138
2.001,0.2176,0.7071,0.4895,0.0,18.791,20.0,138
2.051,0.2176,0.7071,0.4895,0.0,18.95,20.0,138
2.101,0.2176,0.7071,0.4895,0.0,18.596,20.0,138
2.151,0.2176,0.7071,0.4895,0.0,18.828,20.0,137
2.201,0.2176,0.7071,0.4895,0.0,18.645,20.0,137
2.251,0.2176,0.7071,0.4895,0.0,18.755,20.0,139
2.301,0.2178,0.7071,0.4893,0.0,18.425,20.0,139
2.351,0.2178,0.7071,0.4893,0.0,18.864,20.0,139
2.401,0.2178,0.7071,0.4893,0.0,18.828,20.0,139
2.451,0.2179,0.7071,0.4892,0.0,18.73,20.0,138
2.501,0.218,0.7071,0.4891,0.0,18.596,20.0,138
2.551,0.218,0.7071,0.4891,0.0,18.718,20.0,140
2.601,0.218,0.7071,0.4891,0.0,18.828,20.0,140
2.651,0.218,0.7071,0.4891,0.0,18.462,20.0,139
2.701,0.2181,0.7071,0.489,0.0,18.474,20.0,139
2.751,0.2181,0.7071,0.489,0.0,18.706,20.0,141
2.801,0.2181,0.7071,0.489,0.0,18.376,20.0,141
2.851,0.2181,0.7071,0.489,0.0,18.742,20.0,139
2.901,0.2182,0.7071,0.4889,0.0,18.926,20.0,143
2.951,0.2184,0.7071,0.4887,0.0,18.669,20.0,143
3.001,0.2185,0.7071,0.4886,0.0,18.926,20.0,137
3.051,0.2187,0.7071,0.4884,0.002,19.048,20.0,137
3.101,0.2187,0.7071,0.4884,0.002,19.133,20.0,139
3.151,0.2189,0.7071,0.4882,0.002,19.243,20.0,138
3.201,0.2189,0.7071,0.4882,0.002,19.206,20.0,138
3.251,0.2189,0.7071,0.4882,0.002,19.072,20.0,138
3.301,0.219,0.7071,0.4881,0.002,19.109,20.0,138
3.351,0.2189,0.7071,0.4882,0.002,19.219,20.0,140
3.401,0.219,0.7071,0.4881,0.002,19.231,20.0,139
3.451,0.219,0.7071,0.4881,0.0,19.292,20.0,139
3.501,0.2191,0.7071,0.488,0.0,19.328,20.0,138
3.551,0.2191,0.7071,0.488,0.0,19.206,20.0,138
3.601,0.2192,0.7071,0.4879,0.0,19.328,20.0,138
3.651,0.2192,0.7071,0.4879,0.0,19.646,20.0,139
3.701,0.2193,0.7071,0.4878,0.002,19.426,20.0,139
3.751,0.2194,0.7071,0.4877,0.002,19.524,20.0,136
3.801,0.2196,0.7071,0.4875,0.002,19.487,20.0,136
3.851,0.2197,0.7071,0.4874,0.002,19.609,20.0,138
3.901,0.2197,0.7071,0.4874,0.002,19.609,20.0,138
3.951,0.2197,0.7071,0.4874,0.002,19.438,20.0,138
4.001,0.2198,0.7071,0.4873,0.002,19.609,20.0,137
4.051,0.2199,0.7071,0.4872,0.002,19.353,20.0,137
4.101,0.22,0.7071,0.4871,0.002,19.426,20.0,137
4.151,0.22,0.7071,0.4871,0.002,19.414,20.0,137
4.201,0.2201,0.7071,0.487,0.002,19.304,20.0,139
4.251,0.2203,0.7071,0.4868,0.002,19.438,20.0,139
4.301,0.2204,0.7071,0.4867,0.002,17.863,20.0,139
4.351,0.2204,0.7071,0.4867,0.002,19.512,20.0,139
4.401,0.2206,0.7071,0.4865,0.002,19.365,20.0,149
4.451,0.2206,0.7071,0.4865,0.002,19.573,20.0,149
