time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.355,0.414,0.5428,0.1288,0.0
0.404,0.4148,0.5428,0.128,0.0163
0.454,0.4148,0.5428,0.128,0.0
0.504,0.416,0.5428,0.1268,0.0163
0.554,0.416,0.5428,0.1268,0.0
0.604,0.4168,0.5428,0.126,0.016
0.654,0.4168,0.5428,0.126,0.0
0.704,0.418,0.5428,0.1248,0.016
0.754,0.418,0.5428,0.1248,0.0
0.804,0.4185,0.5428,0.1243,0.01
0.854,0.4185,0.5428,0.1243,0.0
0.904,0.42,0.5428,0.1228,0.01
0.954,0.42,0.5428,0.1228,0.0
1.004,0.421,0.5428,0.1218,0.01
1.054,0.421,0.5428,0.1218,0.0
1.104,0.4216,0.5428,0.1212,0.01
1.154,0.4224,0.5428,0.1204,0.01
1.204,0.4245,0.5428,0.1183,0.012
1.254,0.425,0.5428,0.1178,0.012
1.304,0.4265,0.5428,0.1163,0.016
1.354,0.4274,0.5428,0.1154,0.016
1.404,0.4284,0.5428,0.1144,0.018
1.454,0.4295,0.5428,0.1133,0.018
1.504,0.4304,0.5428,0.1124,0.018
1.554,0.4312,0.5428,0.1116,0.018
1.604,0.433,0.5428,0.1098,0.02
1.654,0.4343,0.5428,0.1085,0.02
1.704,0.436,0.5428,0.1068,0.022
1.754,0.4367,0.5428,0.1061,0.02
1.804,0.4374,0.5428,0.1054,0.02
1.854,0.4388,0.5428,0.104,0.022
1.904,0.4403,0.5428,0.1025,0.026
1.954,0.4412,0.5428,0.1016,0.026
2.004,0.4425,0.5428,0.1003,0.026
2.054,0.4434,0.5428,0.0994,0.026
2.104,0.445,0.5428,0.0978,0.026
2.154,0.4459,0.5428,0.0969,0.018
2.204,0.4467,0.5428,0.0961,0.018
2.254,0.4482,0.5428,0.0946,0.026
2.304,0.4494,0.5428,0.0934,0.024
2.354,0.4506,0.5428,0.0922,0.024
2.404,0.4513,0.5428,0.0915,0.024
2.454,0.4526,0.5428,0.0902,0.024
2.504,0.4533,0.5428,0.0895,0.024
2.554,0.454,0.5428,0.0888,0.018
2.604,0.4549,0.5428,0.0879,0.018
2.654,0.456,0.5428,0.0868,0.022
2.704,0.4569,0.5428,0.0859,0.018
2.754,0.4585,0.5428,0.0843,0.018
2.804,0.4588,0.5428,0.084,0.018
2.854,0.4598,0.5428,0.083,0.018
