time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
355,1643,0,0.1361,1026.31,21.90,1,3.49
404,1643,0,0.1358,1026.28,21.96,1,3.49
454,1643,0,0.1357,1026.27,22.00,1,3.49
504,1644,0,0.1363,1026.33,22.02,1,3.49
554,1643,0,0.1361,1026.31,22.04,1,3.49
604,1643,0,0.1357,1026.27,22.05,1,3.49
654,1643,0,0.1363,1026.33,22.06,1,3.49
704,1642,0,0.1359,1026.29,22.06,1,3.49
754,1642,0,0.1360,1026.30,22.07,1,3.49
804,1643,0,0.1361,1026.31,22.07,1,3.49
854,1642,0,0.1363,1026.33,22.07,1,3.49
904,1643,0,0.1364,1026.34,22.08,1,3.49
954,1643,0,0.1366,1026.36,22.08,1,3.49
1004,1642,0,0.1366,1026.36,22.08,1,3.49
1054,1643,0,0.1366,1026.36,22.08,1,3.49
1104,1643,0,0.1374,1026.43,22.08,1,3.49
1154,1642,0,0.1372,1026.41,22.08,1,3.49
1204,1643,0,0.1378,1026.47,22.09,1,3.49
1254,1643,0,0.1379,1026.48,22.09,1,3.49
1304,1643,0,0.1377,1026.46,22.09,1,3.49
1354,1642,0,0.1374,1026.43,22.09,1,3.49
1404,1642,0,0.1374,1026.43,22.09,1,3.49
1454,1643,0,0.1377,1026.46,22.09,1,3.49
1504,1643,0,0.1378,1026.47,22.09,1,3.49
1554,1643,0,0.1379,1026.48,22.09,1,3.49
1604,1641,0,0.1381,1026.50,22.09,1,3.49
1654,1643,0,0.1382,1026.51,22.09,1,3.49
1704,1643,0,0.1387,1026.56,22.09,1,3.49
1754,1643,0,0.1390,1026.59,22.09,1,3.49
1804,1643,0,0.1389,1026.58,22.09,1,3.49
1854,1644,0,0.1391,1026.60,22.09,1,3.49
1904,1644,0,0.1391,1026.60,22.09,1,3.49
1954,1643,0,0.1390,1026.59,22.09,1,3.49
2004,1643,0,0.1397,1026.66,22.09,1,3.49
2054,1645,0,0.1395,1026.64,22.09,1,3.49
2104,1643,0,0.1395,1026.64,22.09,1,3.49
2154,1643,0,0.1396,1026.65,22.09,1,3.49
2204,1643,0,0.1398,1026.67,22.09,1,3.49
2254,1643,0,0.1399,1026.68,22.09,1,3.49
2304,1643,0,0.1401,1026.70,22.10,1,3.49
2354,1643,0,0.1400,1026.69,22.09,1,3.49
2404,1643,0,0.1402,1026.71,22.09,1,3.49
2454,1643,0,0.1402,1026.71,22.09,1,3.49
2504,1643,0,0.1406,1026.75,22.09,1,3.49
2554,1643,0,0.1401,1026.70,22.09,1,3.49
2604,1643,0,0.1403,1026.72,22.10,1,3.49
2654,1643,0,0.1403,1026.72,22.10,1,3.49
2704,1643,0,0.1399,1026.68,22.10,1,3.49
2754,1641,0,0.1406,1026.75,22.09,1,3.49
2804,1643,0,0.1405,1026.74,22.09,1,3.49
2854,1640,255,0.1402,1026.71,22.10,1,3.49
2909,1671,255,0.1407,1026.76,22.08,1,3.49
2964,1680,255,-5.5112,474.16,-403.26,1,3.49
3019,1749,255,0.1405,1026.74,22.06,1,3.49
3074,1791,255,-27.8332,-1708.32,21.97,1,3.49
3129,1831,255,-5.5107,474.21,-403.26,1,3.49
3173,1868,255,0.1404,1026.73,22.05,1,3.49
3223,1909,255,0.1402,1026.71,22.06,1,3.49
3279,1946,255,-9309.8955,-909236.94,22.05,1,3.49
3323,1979,255,0.1397,1026.66,22.08,1,3.49
3379,2014,255,-5.5116,474.12,-403.26,1,3.49
3423,2043,251,0.1397,1026.66,22.09,1,3.49
3473,2093,247,0.1393,1026.62,22.08,1,3.49
3523,2127,247,0.1393,1026.62,22.09,1,3.49
3573,2165,247,0.1394,1026.63,22.09,1,3.49
