time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.353,82.808,50.0,0.7272,0.2448,0.0
0.401,82.784,50.0,0.7276,0.2448,0.0
0.451,82.759,50.0,0.7272,0.2448,0.0
0.501,82.759,50.0,0.7272,0.2448,0.0
0.551,82.759,50.0,0.7272,0.2448,0.0
0.601,82.808,50.0,0.7272,0.2448,0.0
0.651,82.784,50.0,0.7272,0.2448,0.0
0.701,82.784,50.0,0.7272,0.2448,0.0
0.751,82.784,50.0,0.7271,0.2448,0.0
0.801,83.101,50.0,0.7272,0.2448,-12.0
0.851,82.149,50.0,0.7272,0.2448,-12.0
0.901,81.026,50.0,0.7272,0.2448,-12.0
0.951,79.756,50.0,0.7272,0.2448,-12.0
1.001,78.657,50.0,0.7272,0.2448,-12.0
1.051,77.558,50.0,0.7271,0.2448,-12.0
1.101,76.386,50.0,0.7271,0.2448,-12.0
1.151,75.311,50.0,0.727,0.2448,-12.0
1.201,74.139,50.0,0.727,0.2448,-12.0
1.251,73.089,50.0,0.7269,0.2448,-12.0
1.301,72.088,27.52518653869629,0.7269,0.2448,-12.0
1.351,70.94,27.52518653869629,0.7269,0.2448,-12.0
1.401,69.792,27.52518653869629,0.7269,0.2448,-12.0
1.451,68.694,27.52518653869629,0.7269,0.2448,-12.0
1.501,67.717,27.52518653869629,0.7265,0.2448,-12.0
1.551,66.618,27.52518653869629,0.7264,0.2448,-12.0
1.601,65.446,27.52518653869629,0.7264,0.2448,-12.0
1.651,64.298,27.52518653869629,0.7262,0.2448,-12.0
1.701,63.199,27.52518653869629,0.7259,0.2448,-12.0
1.751,62.1,27.52518653869629,0.7258,0.2448,-12.0
1.801,61.148,27.52518653869629,0.7257,0.2448,-12.0
1.851,60.049,27.52518653869629,0.7256,0.2448,-12.0
1.901,58.877,27.52518653869629,0.7253,0.2448,-12.0
1.951,58.022,27.52518653869629,0.7249,0.2448,-12.0
2.001,56.874,27.52518653869629,0.7242,0.2448,-12.0
2.051,55.775,27.52518653869629,0.7242,0.2448,-12.0
2.101,54.847,27.52518653869629,0.7234,0.2448,-12.0
2.151,53.797,27.52518653869629,0.7226,0.2448,-12.0
2.201,52.796,27.52518653869629,0.7223,0.2448,-12.0
2.251,51.868,27.52518653869629,0.722,0.2448,-12.0
2.301,50.94,29.025184631347656,0.7213,0.2448,-12.0
2.351,49.841,29.025184631347656,0.7205,0.2448,-12.0
2.401,48.718,29.025184631347656,0.7195,0.2448,-12.0
2.451,47.766,29.025184631347656,0.7192,0.2448,-12.0
2.501,46.74,29.025184631347656,0.718,0.2448,-12.0
2.551,45.665,29.025184631347656,0.7178,0.2448,-12.0
2.601,44.762,29.025184631347656,0.7169,0.2448,-12.0
2.651,43.614,29.025184631347656,0.7164,0.2448,-12.0
2.701,42.491,29.025184631347656,0.7154,0.2448,-12.0
2.751,41.368,29.025184631347656,0.7147,0.2448,-12.0
2.801,40.391,29.025184631347656,0.7136,0.2448,-12.0
2.851,39.243,29.025184631347656,0.7134,0.2448,-11.717647058823529
2.901,38.364,29.025184631347656,0.7127,0.2448,-11.341176470588236
2.951,37.363,29.025184631347656,0.7114,0.2448,-11.341176470588236
3.001,36.508,29.025184631347656,0.7112,0.2448,-10.588235294117647
3.051,35.629,29.025184631347656,0.7103,0.2448,-10.588235294117647
3.101,34.628,29.025184631347656,0.7095,0.2448,-9.882352941176471
3.151,34.164,29.025184631347656,0.7088,0.2448,-9.882352941176471
3.201,33.602,29.025184631347656,0.7086,0.2448,-9.176470588235293
3.251,32.674,29.025184631347656,0.7078,0.2448,-8.988235294117647
3.301,32.674,30.52518653869629,0.7072,0.2448,-8.988235294117647
3.351,31.819,30.52518653869629,0.707,0.2448,-8.423529411764706
3.401,31.868,30.52518653869629,0.7065,0.2448,-7.858823529411764
3.451,31.673,30.52518653869629,0.7061,0.2448,-7.858823529411764
3.501,31.429,30.52518653869629,0.7058,0.2448,-7.576470588235294
3.551,31.282,30.52518653869629,0.7057,0.2448,-7.576470588235294
3.601,31.258,30.52518653869629,0.7057,0.2448,-7.3882352941176475
3.651,31.038,30.52518653869629,0.7056,0.2448,-7.341176470588235
3.701,31.013,30.52518653869629,0.7055,0.2448,-7.341176470588235
3.751,30.94,30.52518653869629,0.7053,0.2448,-7.247058823529412
3.801,30.794,30.52518653869629,0.7053,0.2448,-7.247058823529412
3.851,30.818,30.52518653869629,0.7052,0.2448,-7.2
3.901,30.696,30.52518653869629,0.7052,0.2448,-7.152941176470589
3.951,30.647,30.52518653869629,0.705,0.2448,-7.152941176470589
4.001,30.623,30.52518653869629,0.705,0.2448,-7.105882352941176
4.051,30.549,30.52518653869629,0.705,0.2448,-7.105882352941176
4.101,30.623,30.52518653869629,0.7048,0.2448,-7.105882352941176
4.151,30.403,30.52518653869629,0.7045,0.2448,0.0
4.201,30.379,30.52518653869629,0.704,0.2448,0.0
4.251,30.769,30.52518653869629,0.7033,0.2448,7.105882352941176
4.301,30.72,29.025184631347656,0.7029,0.2448,7.105882352941176
4.351,30.623,29.025184631347656,0.7023,0.2448,-7.152941176470589
4.401,30.989,29.025184631347656,0.7006,0.2448,-7.7176470588235295
4.451,30.745,29.025184631347656,0.7001,0.2448,-7.7176470588235295
4.501,30.696,29.025184631347656,0.6987,0.2448,-7.811764705882353
4.551,30.452,29.025184631347656,0.697,0.2448,-7.811764705882353
4.601,30.256,29.025184631347656,0.6947,0.2448,-7.670588235294118
4.651,30.134,29.025184631347656,0.6931,0.2448,-7.576470588235294
4.701,29.89,29.025184631347656,0.6912,0.2448,-7.576470588235294
4.751,29.817,29.025184631347656,0.6886,0.2448,-7.482352941176471
4.801,29.792,29.025184631347656,0.6864,0.2448,-7.482352941176471
4.851,29.573,29.025184631347656,0.6837,0.2448,-7.341176470588235
4.901,29.475,29.025184631347656,0.6807,0.2448,-7.341176470588235
4.951,29.499,29.025184631347656,0.6768,0.2448,-7.341176470588235
5.001,29.402,29.025184631347656,0.6743,0.2448,-7.247058823529412
5.051,29.28,29.025184631347656,0.6707,0.2448,-7.247058823529412
