time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.35,49.719,0,0.9246,None,0
0.399,49.719,0,0.9246,None,0
0.449,49.731,0,0.9246,None,0
0.499,49.707,0,0.9248,None,0
0.549,49.707,0,0.9248,None,0
0.599,49.731,0,0.9249,None,0
0.649,49.707,0,0.9248,None,0
0.699,49.67,0,0.9248,None,0
0.749,49.719,0,0.9248,None,0
0.799,49.731,0,0.9248,None,0
0.849,49.719,0,0.9248,None,0
0.899,49.695,0,0.9248,None,0
0.949,49.731,0,0.9248,None,0
0.999,49.719,0,0.9248,None,0
1.049,49.695,0,0.9248,None,0
1.099,49.719,0,0.9248,None,0
1.154,49.731,0,0.9248,None,-255
1.203,48.059,0,0.9248,None,-255
1.258,46.215,0,0.9248,None,-255
1.303,44.286,0,0.9248,None,-255
1.353,42.357,0,0.9248,None,-255
1.403,40.611,0,0.9248,None,-255
1.453,39.035,0,0.9248,None,-255
1.503,37.424,0,0.9248,None,-255
1.553,35.836,0,0.9249,None,-255
1.603,34.127,0,0.9248,None,-255
1.653,32.357,0,0.9249,None,-255
1.709,30.611,0,0.9248,None,-255
1.758,29.17,0,0.9248,None,-255
1.809,27.448,0,0.9248,None,-255
1.858,25.788,0,0.9248,None,-255
1.914,24.017,0,0.9248,None,-255
1.957,22.21,0,0.9246,None,-255
2.011,20.659,0,0.9246,None,-255
2.059,19.035,0,0.9246,None,-255
2.119,17.485,0,0.9246,None,-255
2.162,15.751,0,0.9246,None,-255
2.217,14.286,0,0.9243,None,-255
2.266,12.796,20,-5.1612,None,-255
2.316,11.404,28,-5.1615,None,-255
2.361,10.0,46,-5.1612,None,-255
2.411,8.535,50,-5.1612,None,3
2.461,7.998,50,0.9243,None,255
2.511,9.011,50,0.9243,None,255
2.561,10.647,50,0.9245,None,255
2.617,12.234,50,0.9245,None,255
2.661,13.822,50,0.9245,None,255
2.711,15.556,50,0.9245,None,255
2.761,17.326,50,0.9246,None,255
2.811,19.096,50,0.9245,None,255
2.861,20.965,50,0.9245,None,255
2.911,22.808,50,0.9245,None,255
2.961,24.774,50,0.9245,None,255
3.011,26.691,50,0.9245,None,255
3.061,28.474,50,0.9246,None,255
3.117,30.317,50,0.9245,None,247
3.166,32.186,50,0.9245,None,247
3.211,34.066,50,0.9245,None,206
3.261,35.458,50,0.9245,None,206
3.311,36.484,50,0.9245,None,158
3.361,37.009,50,0.9245,None,158
3.411,37.118,50,0.9245,None,130
3.461,37.277,46,0.9245,None,130
3.511,37.241,20,0.9245,None,129
3.561,37.216,4,0.9245,None,129
3.611,37.338,1,0.9245,None,-255
3.661,36.093,1,0.9245,None,-255
3.711,34.396,1,0.9245,None,-255
3.761,32.589,1,0.9245,None,-255
3.811,30.806,1,0.9245,None,-255
3.861,29.133,1,0.9245,None,-255
3.917,27.497,1,0.9245,None,-255
3.961,25.922,1,0.9245,None,-255
4.011,24.261,1,0.9245,None,-255
4.061,22.442,1,0.9245,None,-255
4.116,20.842,1,0.9245,None,-255
4.166,19.133,1,0.9245,None,-255
4.211,17.705,1,0.9245,None,-255
4.267,16.142,1,0.9245,None,-255
4.322,14.615,1,0.9245,None,-255
4.365,13.028,1,0.9245,None,-255
4.414,11.575,5,0.9244,None,-255
4.464,10.281,22,0.9245,None,-255
4.514,8.84,25,0.9243,None,-255
4.569,7.35,25,0.9242,None,-255
4.614,5.556,25,0.9239,None,52
4.664,5.189,25,0.9242,None,81
4.714,5.226,28,0.9242,None,81
4.764,5.226,32,0.9242,None,125
4.814,5.201,44,0.9242,None,125
4.864,5.311,50,0.9243,None,245
4.914,6.569,45,0.9243,None,245
4.964,8.339,25,0.9243,None,255
5.014,10.0,25,0.9244,None,255
5.064,11.551,25,0.9244,None,255
5.114,13.138,25,0.9244,None,116
5.164,14.432,25,0.9245,None,116
5.214,15.336,25,0.9245,None,77
5.264,15.946,25,0.9245,None,77
5.314,16.447,25,0.9246,None,49
5.364,16.703,25,0.9246,None,49
5.414,16.801,25,0.9246,None,37
5.464,16.85,25,0.9246,None,36
5.514,16.899,25,0.9246,None,36
5.564,16.935,25,0.9246,None,39
5.614,16.947,25,0.9246,None,39
5.664,16.972,25,0.9246,None,42
5.714,16.96,25,0.9246,None,42
5.764,17.009,25,0.9247,None,47
5.814,17.106,25,0.9247,None,47
5.864,17.057,25,0.9248,None,51
5.914,17.057,25,0.9248,None,51
5.964,17.021,25,0.9248,None,55
6.014,17.033,25,0.9248,None,55
6.064,16.96,25,0.9248,None,60
6.114,17.045,25,0.9248,None,60
6.164,16.984,25,0.9248,None,66
6.214,17.045,25,0.9247,None,67
6.264,16.996,8,0.9247,None,72
6.314,16.996,0,0.9247,None,72
6.369,17.057,0,0.9247,None,-255
6.425,15.934,0,0.9247,None,-255
6.473,14.31,0,0.9247,None,-255
6.517,12.845,0,0.9246,None,-255
6.567,11.453,0,0.9246,None,-255
6.622,10.037,0,0.9246,None,-255
6.673,8.62,0,0.9245,None,-251
6.723,7.131,0,0.9244,None,-251
6.767,5.592,0,0.9244,None,-213
6.817,4.664,0,0.9244,None,-213
6.867,3.81,0,0.9244,None,-171
6.917,3.162,0,0.9245,None,-159
6.967,3.089,0,0.9245,None,-159
7.017,3.223,0,0.9245,None,-138
7.067,3.333,0,0.9245,None,-138
7.117,3.114,0,0.9245,None,-141
7.167,2.979,0,0.9245,None,-144
7.217,3.065,0,0.9245,None,-144
7.267,3.15,27,0.9246,None,-140
7.317,3.138,50,0.9246,None,-140
7.367,3.431,50,0.9246,None,255
7.417,4.628,50,0.9246,None,255
7.467,6.41,50,0.9246,None,255
7.517,8.168,50,0.9246,None,255
7.567,9.866,50,0.9246,None,255
7.617,11.465,50,0.9246,None,255
7.667,13.04,50,0.9246,None,255
7.717,14.725,50,0.9247,None,255
7.767,16.459,50,0.9247,None,255
7.817,18.23,50,0.9246,None,255
7.867,20.049,50,0.9246,None,255
7.917,21.941,50,0.9246,None,255
7.967,23.785,50,0.9246,None,255
8.017,25.788,50,0.9246,None,255
8.067,27.619,47,0.9246,None,255
8.117,29.438,9,0.9246,None,255
8.167,31.221,0,0.9246,None,255
8.217,33.162,0,0.9246,None,255
8.267,34.921,0,0.9246,None,-255
8.317,34.066,0,0.9246,None,-255
8.367,32.198,0,0.9246,None,-255
8.417,30.452,0,0.9246,None,-255
8.467,28.828,0,0.9246,None,-255
8.517,27.216,0,0.9246,None,-255
8.567,25.531,0,0.9246,None,-255
8.623,23.761,0,0.9246,None,-255
8.672,22.137,0,0.9246,None,-255
8.717,20.464,0,0.9246,None,-255
8.767,18.901,0,0.9246,None,-255
8.817,17.326,29,0.9246,None,-255
8.873,15.812,50,0.9245,None,-255
8.917,13.968,50,0.9244,None,152
8.967,14.237,50,0.9245,None,152
9.017,14.383,50,0.9245,None,255
9.067,15.775,50,0.9244,None,255
9.117,17.546,50,0.9244,None,255
9.167,19.328,50,0.9244,None,255
9.217,21.172,50,0.9244,None,255
9.267,23.028,50,0.9244,None,255
9.317,24.982,50,0.9244,None,255
9.367,26.911,50,0.9244,None,255
9.417,28.681,45,0.9245,None,255
9.467,30.537,12,0.9245,None,255
9.517,32.393,0,0.9246,None,255
9.567,34.322,0,0.9245,None,255
9.622,36.044,0,0.9245,None,-255
9.667,35.153,0,0.9246,None,-255
9.723,33.407,0,0.9245,None,-255
9.767,31.587,0,0.9246,None,-255
9.817,29.841,0,0.9247,None,-255
9.878,28.242,0,0.9247,None,-255
9.921,26.606,0,0.9247,None,-255
9.97,24.835,0,0.9247,None,-255
10.02,23.138,19,0.9246,None,-255
10.07,21.453,48,0.9246,None,-255
10.12,19.866,50,0.9246,None,-78
10.17,18.999,50,0.9246,None,-78
10.22,18.901,50,0.9245,None,255
10.27,20.098,50,0.9245,None,255
10.32,21.929,50,0.9245,None,255
10.37,23.797,50,0.9245,None,255
10.42,25.812,50,0.9245,None,255
10.47,27.656,50,0.9245,None,255
10.52,29.438,50,0.9245,None,255
10.57,31.245,50,0.9245,None,255
10.62,33.175,39,0.9245,None,255
10.67,35.092,6,0.9245,None,255
10.72,36.777,0,0.9244,None,255
10.775,38.315,0,0.9244,None,-255
10.82,37.448,0,0.9244,None,-255
10.875,35.8,0,0.9244,None,-255
10.92,34.09,0,0.9244,None,-255
10.976,32.271,0,0.9244,None,-255
11.031,30.464,0,0.9244,None,-255
11.074,28.694,0,0.9244,None,-255
11.123,27.106,0,0.9244,None,-255
11.173,25.47,21,0.9244,None,-255
11.228,23.724,50,0.9244,None,-255
11.273,22.063,50,0.9244,None,-100
11.323,21.087,50,0.9244,None,255
11.373,22.173,50,0.9244,None,255
11.423,24.042,50,0.9243,None,255
11.473,26.081,50,0.9243,None,255
11.523,27.863,50,0.9243,None,255
11.573,29.658,50,0.9243,None,255
11.623,31.709,50,0.9244,None,255
11.673,33.443,50,0.9243,None,255
11.723,35.299,50,0.9244,None,255
11.773,36.972,43,0.9243,None,255
11.823,38.632,9,0.9244,None,255
11.873,40.281,0,0.9244,None,255
11.923,41.917,0,0.9244,None,-255
11.973,40.952,0,0.9244,None,-255
12.029,39.414,0,0.9244,None,-255
12.076,37.57,0,0.9244,None,-255
12.125,36.044,0,0.9244,None,-255
12.18,34.347,0,0.9244,None,-255
12.23,32.589,0,0.9243,None,-255
12.275,30.83,0,0.9244,None,-255
12.325,29.219,28,0.9244,None,-255
12.38,27.741,50,0.9244,None,-255
12.425,26.044,50,0.9244,None,-255
12.475,24.42,50,0.9244,None,255
12.525,25.372,50,0.9244,None,255
12.575,27.277,50,0.9244,None,255
12.625,29.06,50,0.9244,None,255
12.675,30.842,50,0.9243,None,255
12.725,32.796,50,0.9244,None,255
12.775,34.701,50,0.9244,None,255
12.825,36.447,50,0.9244,None,244
12.875,39.035,48,0.9244,None,244
12.925,39.499,45,0.9244,None,197
12.975,40.488,44,0.9244,None,197
13.025,41.233,41,0.9245,None,80
13.075,41.477,38,0.9245,None,51
13.125,41.477,37,0.9245,None,51
13.175,41.453,34,0.9244,None,-56
13.225,41.416,32,0.9244,None,-56
13.275,41.477,30,0.9242,None,-120
13.325,41.563,26,0.9244,None,-153
13.375,41.441,25,0.9242,None,-153
13.43,41.343,25,0.9242,None,-253
13.475,39.951,25,0.9242,None,-253
13.525,38.352,25,0.9242,None,-255
13.575,36.63,25,0.9244,None,-255
13.625,35.177,25,0.9242,None,-238
13.675,33.553,25,0.9242,None,-238
13.725,32.112,24,0.9245,None,-197
13.775,30.781,24,0.9244,None,-197
13.825,29.951,23,0.9244,None,-171
13.875,29.548,23,0.9245,None,-171
13.925,29.292,22,0.9245,None,-157
13.975,29.328,21,0.9245,None,-157
14.025,28.84,21,0.9245,None,-167
14.076,28.498,21,0.9245,None,-185
14.125,28.059,20,0.9245,None,-185
14.175,27.277,20,0.9245,None,-177
14.225,26.764,19,0.9245,None,-177
14.275,26.52,19,0.9245,None,-178
14.325,26.032,19,0.9245,None,-188
14.375,25.397,19,0.9245,None,-188
14.425,24.713,19,0.9245,None,-181
14.475,24.054,19,0.9245,None,-181
14.525,23.602,19,0.9245,None,-164
14.575,23.126,19,0.9246,None,-157
14.625,23.04,19,0.9245,None,-157
14.675,22.723,19,0.9246,None,-145
14.725,22.906,19,0.9245,None,-145
14.775,22.857,19,0.9246,None,-141
14.825,22.723,19,0.9246,None,-145
14.875,22.869,19,0.9246,None,-145
14.925,22.894,19,0.9246,None,-145
14.975,22.711,19,0.9246,None,-145
15.025,22.943,19,0.9246,None,-149
15.075,22.857,19,0.9246,None,-148
