time_ms,actuator_raw,motor_cmd,depth_m,pressure_mbar,temp_c,depth_ok,battery_v
352,2019,0,0.8317,1094.56,22.83,1,11.50
401,2019,0,0.8321,1094.60,22.90,1,11.50
451,2019,0,0.8308,1094.47,22.93,1,11.50
501,2019,0,0.8312,1094.51,22.95,1,11.50
551,2019,0,0.8317,1094.56,22.97,1,11.50
601,2019,0,0.8311,1094.50,22.98,1,11.50
651,2019,0,0.8314,1094.53,22.99,1,11.50
701,2021,0,0.8312,1094.51,22.99,1,11.50
751,2019,0,0.8306,1094.45,23.00,1,11.50
801,2022,0,0.8309,1094.48,23.00,1,11.50
851,2021,0,0.8317,1094.56,23.01,1,11.50
901,2021,0,0.8309,1094.48,23.01,1,11.50
951,2020,0,0.8314,1094.53,23.01,1,11.50
1001,2023,0,0.8311,1094.50,23.01,1,11.48
1051,2021,0,0.8314,1094.53,23.01,1,11.48
1101,2019,0,0.8311,1094.50,23.01,1,11.48
1151,2020,0,0.8311,1094.50,23.02,1,11.50
1201,2021,0,0.8316,1094.55,23.01,1,11.50
1251,2017,0,0.8313,1094.52,23.02,1,11.50
1301,2018,0,0.8312,1094.51,23.01,1,11.50
1351,2018,0,0.8315,1094.54,23.02,1,11.48
1401,2019,0,0.8312,1094.51,23.02,1,11.50
1451,2020,0,0.8312,1094.51,23.02,1,11.50
1502,2029,156,0.8313,1094.52,23.01,1,11.50
1557,2019,156,0.8316,1094.55,23.01,1,11.50
1606,2019,156,0.8312,1094.51,23.01,1,11.50
1656,2044,159,0.8311,1094.50,23.01,1,11.50
1706,2046,159,0.8317,1094.56,23.02,1,11.47
1756,2059,154,0.8309,1094.48,23.02,1,11.48
1806,2054,154,0.8310,1094.49,23.02,1,11.48
1856,2075,151,0.8322,1094.61,23.02,1,11.48
1906,2076,151,0.8309,1094.48,23.02,1,11.50
1956,2081,-152,0.8312,1094.51,23.02,1,11.47
2006,2101,-152,0.8317,1094.56,23.02,1,11.50
2056,2080,-152,0.8310,1094.49,23.02,1,11.50
2106,2095,-157,0.8312,1094.51,23.02,1,11.50
2156,2088,-157,0.8315,1094.54,23.02,1,11.47
2206,2071,-156,0.8314,1094.53,23.03,1,11.48
2256,2063,-155,0.8312,1094.51,23.03,1,11.50
2306,2063,-155,0.8318,1094.57,23.02,1,11.48
2356,2058,0,0.8311,1094.50,23.02,1,11.50
2406,2060,0,0.8316,1094.55,23.02,1,11.50
2456,2060,163,0.8313,1094.52,23.02,1,11.48
2506,2063,163,0.8314,1094.53,23.02,1,11.50
2556,2066,163,0.8312,1094.51,23.02,1,11.48
2606,2082,163,0.8317,1094.56,23.02,1,11.50
