depth_filtered_m,actuator_mm
0.8881,49.988
0.8881,49.976
0.8878,49.976
0.888,49.963
0.888,49.963
0.888,49.976
0.888,49.976
0.888,49.963
0.888,49.976
0.8881,49.988
0.8881,49.988
0.8881,49.976
0.888,49.951
0.8881,49.988
0.888,49.951
0.888,49.951
0.8881,49.963
0.8881,49.988
0.8882,49.963
0.8882,49.963
0.8882,49.988
0.8882,49.963
0.8882,49.951
0.8882,49.963
0.8882,49.988
0.8882,49.963
0.8883,49.951
0.8883,49.976
0.8883,49.976
0.8883,49.976
0.8883,49.976
0.8883,49.988
0.8883,49.951
0.8883,49.976
0.8883,49.988
0.8882,49.963
0.8882,49.976
0.8882,49.939
0.8882,49.976
0.8882,49.89
0.8882,49.939
0.8882,49.951
0.8882,49.951
0.8882,49.963
0.8882,49.976
0.8882,49.951
0.8882,49.988
0.8882,49.951
0.8882,49.963
0.8882,49.951
0.8882,49.976
0.8882,49.951
0.8882,49.976
0.8883,49.976
0.8882,49.963
0.8882,49.976
0.8882,49.988
0.8882,49.988
0.8883,49.976
0.8883,49.951
0.8883,49.976
0.8883,49.988
0.8883,49.976
0.8884,49.976
0.8884,49.976
0.8884,49.951
0.8884,49.988
0.8884,49.915
0.8884,49.988
0.8884,49.988
0.8884,49.976
0.8884,49.988
0.8885,49.988
0.8885,49.976
0.8884,49.951
0.8885,49.976
0.8885,49.976
0.8885,49.988
0.8885,49.963
0.8885,49.951
0.8885,49.951
0.8885,49.976
0.8885,49.988
0.8885,49.976
0.8885,49.988
0.8885,49.939
0.8885,49.988
0.8885,49.951
0.8885,49.963
0.8886,49.951
0.8886,49.988
0.8886,49.951
0.8886,49.988
0.8886,49.963
0.8886,49.976
0.8886,49.963
0.8887,49.976
0.8887,49.951
0.8886,49.939
0.8886,49.988
0.8886,49.976
0.8886,49.951
0.8886,49.951
0.8886,49.963
0.8886,49.915
0.8886,49.988
0.8886,49.976
0.8885,49.976
0.8884,49.963
0.8885,49.963
0.8885,49.939
0.8884,49.988
0.8885,49.988
0.8884,49.976
0.8884,49.963
0.8885,49.963
0.8884,49.988
0.8884,49.988
0.8885,49.988
0.8884,49.976
0.8884,49.976
0.8884,49.951
0.8884,49.976
0.8885,49.976
0.8884,49.976
0.8885,49.988
0.8886,49.963
0.8885,49.963
0.8886,49.927
0.8886,49.976
0.8886,49.988
0.8886,49.988
0.8886,49.939
0.8886,49.951
0.8886,49.988
0.8887,49.976
0.8887,49.988
0.8887,49.976
0.8886,49.951
0.8886,49.939
0.8886,49.976
0.8885,49.976
0.8886,49.976
0.8886,49.976
0.8885,49.951
0.8886,49.963
0.8885,49.976
0.8885,49.988
0.8885,49.951
0.8885,49.988
0.8884,49.976
0.8885,49.963
0.8884,49.976
0.8884,49.976
0.8884,49.951
0.8885,49.976
0.8884,49.939
0.8884,49.976
0.8884,49.939
0.8884,49.976
0.8882,49.939
0.8884,49.963
0.8884,49.951
0.8883,49.951
0.8883,49.988
0.8883,49.988
0.8883,49.988
0.8883,49.951
0.8883,49.951
0.8883,49.963
0.8883,49.976
0.8883,49.976
0.8883,49.976
0.8883,49.963
0.8883,49.951
0.8883,49.963
0.8883,49.976
0.8883,49.976
0.8883,49.976
0.8882,49.963
0.8882,49.951
0.8882,49.951
0.8881,49.963
0.8881,49.976
0.8881,49.951
0.8881,49.963
0.8881,49.951
0.8881,49.963
0.8881,49.988
0.8881,49.976
0.8881,49.988
0.8881,49.976
0.8881,49.963
0.8881,49.963
0.8881,49.976
0.8881,49.976
0.8881,49.988
0.8882,49.939
0.8882,49.988
0.8882,49.927
0.8882,49.951
